"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2023","450.850","452.455","452.455","448.555","47.31K","-0.25%"
"04/12/2023","451.980","451.505","454.360","450.855","44.58K","0.22%"
"04/11/2023","451.000","444.750","451.705","444.250","66.48K","1.43%"
"04/10/2023","444.650","445.805","446.465","443.065","77.19K","-0.10%"
"04/07/2023","445.080","446.155","446.640","443.350","47.95K","-0.11%"
"04/06/2023","445.580","447.850","449.355","445.740","67.18K","-0.28%"
"04/05/2023","446.850","447.255","449.440","445.535","58.41K","0.13%"
"04/04/2023","446.260","452.360","452.360","446.040","34.11K","-1.40%"
"04/03/2023","452.590","455.860","455.860","448.590","39.43K","-0.44%"
"03/31/2023","454.600","450.655","456.860","450.355","52.23K","1.00%"
"03/30/2023","450.080","447.805","450.655","446.905","57.70K","0.58%"
"03/29/2023","447.480","453.400","453.950","445.990","78.34K","-1.28%"
"03/28/2023","453.300","457.550","457.815","452.800","130.08K","-0.92%"
"03/27/2023","457.500","457.410","460.265","456.160","85.82K","0.09%"
"03/24/2023","457.090","464.050","464.410","454.060","45.80K","-1.51%"
"03/20/2023","464.090","458.260","465.215","458.070","42.95K","1.34%"
"03/17/2023","457.940","464.110","464.215","457.545","44.28K","-1.26%"
"03/16/2023","463.790","464.110","470.815","461.100","42.82K","0.00%"
"03/15/2023","463.790","461.610","468.060","461.100","39.28K","0.54%"
"03/14/2023","461.290","456.810","462.515","456.100","47.32K","1.16%"
"03/13/2023","456.000","452.005","459.360","451.905","47.12K","0.96%"
"03/10/2023","451.680","441.400","452.315","441.250","48.10K","2.40%"
"03/09/2023","441.080","438.250","442.500","437.875","43.80K","0.72%"
"03/07/2023","437.930","436.300","440.250","436.040","44.19K","0.45%"
"03/06/2023","435.980","431.100","438.050","427.040","43.67K","1.21%"
"03/03/2023","430.780","435.800","435.810","429.100","45.78K","-1.08%"
"03/02/2023","435.480","440.550","441.110","431.550","65.32K","-1.14%"
"03/01/2023","440.500","445.050","445.310","440.100","97.97K","-1.06%"
"02/28/2023","445.200","447.355","448.255","444.900","71.47K","-0.44%"
"02/27/2023","447.180","449.350","450.555","447.055","53.68K","-0.47%"
"02/24/2023","449.300","449.005","449.365","445.050","83.34K","0.23%"
"02/23/2023","448.250","449.005","450.255","448.300","42.22K","-0.13%"
"02/22/2023","448.830","446.955","449.355","445.540","47.34K","0.46%"
"02/21/2023","446.780","447.005","447.355","444.550","57.12K","-0.01%"
"02/20/2023","446.830","448.655","448.865","446.440","59.45K","-0.06%"
"02/17/2023","447.100","443.750","448.655","442.750","86.19K","0.77%"
"02/16/2023","443.700","447.255","447.255","443.140","94.27K","-0.74%"
"02/15/2023","447.000","449.555","450.055","444.250","72.05K","-0.50%"
"02/14/2023","449.250","451.755","452.355","449.215","60.33K","-0.55%"
"02/13/2023","451.750","451.055","453.560","450.755","50.73K","0.19%"
"02/10/2023","450.880","452.205","452.205","450.040","44.76K","-0.25%"
"02/09/2023","452.030","455.060","455.115","450.755","48.81K","-0.63%"
"02/08/2023","454.890","456.260","457.100","454.620","44.17K","-0.26%"
"02/07/2023","456.090","457.460","457.760","456.260","42.73K","-0.26%"
"02/06/2023","457.290","458.060","460.400","456.795","52.32K","-0.13%"
"02/03/2023","457.890","458.900","460.710","457.860","69.29K","-0.20%"
"02/02/2023","458.800","460.560","460.565","458.760","81.55K","-0.32%"
"02/01/2023","460.290","460.500","461.290","460.295","66.23K","-0.02%"
"01/31/2023","460.400","459.650","461.015","459.620","104.60K","0.17%"
"01/30/2023","459.600","460.060","460.160","459.420","44.68K","-0.11%"
"01/27/2023","460.090","460.860","462.060","459.745","45.88K","-0.11%"
"01/26/2023","460.590","461.360","463.360","460.645","45.76K","-0.13%"
"01/25/2023","461.200","461.660","462.560","460.810","43.31K","-0.04%"
"01/24/2023","461.390","462.210","462.660","461.320","52.85K","-0.13%"
"01/23/2023","462.000","464.200","464.200","461.245","55.48K","-0.13%"
"01/20/2023","462.590","462.660","464.360","462.060","42.35K","0.04%"
"01/19/2023","462.390","464.060","464.165","462.095","44.72K","-0.30%"
"01/18/2023","463.790","464.360","465.360","463.845","43.97K","-0.09%"
"01/17/2023","464.220","463.460","464.650","463.150","74.21K","0.20%"
"01/16/2023","463.300","462.260","463.660","462.095","49.93K","0.28%"
"01/13/2023","462.000","462.150","462.865","461.650","63.41K","0.00%"
"01/12/2023","462.000","462.260","462.915","461.860","81.65K","0.00%"
"01/11/2023","462.000","462.560","462.665","461.650","45.44K","-0.06%"
"01/10/2023","462.290","462.250","463.260","461.360","67.35K","0.04%"
"01/09/2023","462.100","464.360","464.725","462.095","83.11K","-0.27%"
"01/06/2023","463.360","465.060","465.350","462.760","44.50K","-0.31%"
"01/05/2023","464.790","465.760","466.765","465.060","41.54K","-0.15%"
"01/04/2023","465.490","462.150","466.060","462.150","47.54K","0.64%"
"12/30/2022","462.540","461.560","465.150","461.150","37.25K","0.27%"
"12/29/2022","461.290","463.260","463.260","460.360","42.44K","-0.37%"
"12/28/2022","462.990","460.560","463.560","459.360","46.18K","0.59%"
"12/27/2022","460.290","462.150","462.660","459.860","64.01K","-0.37%"
"12/26/2022","462.000","461.760","463.165","459.550","83.91K","0.11%"
"12/23/2022","461.490","464.260","464.860","459.860","41.73K","-0.54%"
"12/22/2022","463.990","469.160","469.360","463.960","45.61K","-1.05%"
"12/21/2022","468.890","470.260","471.150","469.045","43.22K","-0.19%"
"12/20/2022","469.800","467.660","470.560","467.660","47.35K","0.52%"
"12/19/2022","467.390","466.860","469.015","466.860","42.35K","0.17%"
